code,title,authors,area,subarea,edition,language,volume,subtitle,isbn,year,publisher,barcode
FIS-01.05  v.3,Física,"David Halliday, Robert Resnick",FIS,,4,1,3,,,,,
FIS-01.05  v.4,Fisica,"David Halliday, Robert Resnick",FIS,,4,1,4,,,,,
FIS-01.06  v.1,Física,Francis W. Sears,FIS,,1,1,1,"Mecânica, Calor, Acústica",,,,
FIS-01.06  v.2,Física,Francis W. Sears,FIS,,1,1,2,"Magnetismo, Eletricidade",,,,
FIS-01.06  v.2,Física,Francis W. Sears,FIS,,1,1,2,"Magnetismo, Eletricidade",,,,
FIS-01.07  v.1,Física,"Hugh D. Young, Roger A. Freedman",FIS,,10,1,1,Mecânica,,,,
FIS-01.08  v.2,Física,"David Halliday, Robert Resnick",FIS,,2,1,2,,,,,
FIS-01.09  v.2,Física,Paul A. Tipler,FIS,,4,1,2,"Eletricidade e Magnetismo, Ótica",,,,
FIS-01.09  v.2,Manual de Soluções Física,Paul A. Tipler,FIS,,4,1,2,"Eletricidade e Magnetismo, Ótica",,,,
FIS-01.10  v.1,Física,GREF,FIS,,1,1,1,Mecânica,,,,
FIS-01.10  v.3,Física,GREF,FIS,,1,1,3,Eletromagnetismo,,,,
FIS-01.11  v.1,"Física, um Curso Universitário","Marcelo Alonso, Edward J. Finn",FIS,,1,1,1,Mecânica,,,,
FIS-01.12,University Physics,George Brown Arfken,FIS,,2,2,,,,,,
FIS-01.13,Principles of Physics,Raymond A. Serway,FIS,,2,2,,,,,,
FIS-01.14  v.4,Pauli Lectures on Physics,Wolfgang Pauli,FIS,,1,2,4,Statistical Mechanics,,,,
FIS-01.15  v.3,Introductory Physics,"R. S. Gambhir, D. Banerjee, M. C. Durgapal",FIS,,1,2,3,"Eletricity, Magnetism and Modern Physics",,,,
FIS-01.17  v.3,Física para a Universidade,"Nelson Martins, Ronald U. Pauli, Farid C. Mauad",FIS,,1,1,3,Dinâmica,,,,
FIS-01.18  v.1,Coleção CBPF - Tópicos de Física,Anna Maria Freire Endler,FIS,,1,1,1,Introdução à Física de Partículas,,,,
FIS-01.19,200 Puzzling Physics Problems With hints and Solutions,"Peter Gnadig, Gyula Honyek, Ken Riley",FIS,,1,2,,,,,,
QUI-01.01,Chemical Principles,"Peter William Atkins, Loretta Jones",QUI,,2,2,,The Quest for Insight,,,,
QUI-01.01,Princípios de química,"Peter William Atkins, Loretta Jones",QUI,,1,1,,,,,,
QUI-01.02  v.1,Química,"James E. Brady, Fred Sense",QUI,,5,1,1,A Matéria e Suas Transformações,,,,
QUI-01.03  v.1,Coleção de Química Conceitual,Henrique E. Toma,QUI,,1,1,1,"Estrutura Atômica, Ligações e Estereoquimica",,,,
QUI-01.03  v.2,Coleção de Química Conceitual,Henrique E. Toma,QUI,,1,1,2,"Energia, Estados e Transformações Químicas",,,,
QUI-01.03  v.3,Coleção de Química Conceitual,Henrique E. Toma,QUI,,1,1,3,Elementos Qímicos e seus Compostos,,,,
QUI-01.03  v.4,Coleção de Química Conceitual,Henrique E. Toma,QUI,,1,1,4,"Química de Coordenação, Organometálica e Catálise",,,,
QUI-01.04,Study Guide to Accompany Chemistry and Chemical Reactivity Kotz & Purcell,Harry E. Pence,QUI,,2,2,,,,,,
QUI-01.05,"Introduction to General, Organic & Biochemistry","Frederick A. Bettelheim, Jerry March",QUI,,4,2,,,,,,
QUI-01.06,General Chemistry with Qualitative Analysis,"Kenneth W. Whitten, Kenneth D. Gailey, Raymond E. Davis",QUI,,4,2,,,,,,
QUI-01.07,Quimica General,Gaston P. Muzzo,QUI,,1,3,,,,,,
QUI-01.08,Principios Básicos de Química,"Harry B. Gray, Gilbert P. Haight Jr.",QUI,,1,3,,,,,,
QUI-01.09,Química,"Bruce M. Mahan, Rollie J. Myers",QUI,,4,1,,Um Curso Universitário,,,,
QUI-01.10,Neoquímica,Nina Hall,QUI,,1,1,,A Química Moderna e Suas Aplicações,,,,
BIO-02.01,Molecular Biology of the Cell,"Bruce Alberts, Dennis Bray, Julian Lewis, Martin Raff, Keith Roberts, James D. Watson",BIO,,2,2,,,,,,
BIO-02.01,Molecular Biology of the Cell,"Bruce Alberts, Dennis Bray, Julian Lewis, Martin Raff, Keith Roberts, James D. Watson",BIO,,2,2,,,,,,
BIO-02.01,Molecular Biology of the Cell,"Bruce Alberts, Dennis Bray, Julian Lewis, Martin Raff, Keith Roberts, James D. Watson",BIO,,2,2,,,,,,
BIO-02.01,Molecular Biology of the Cell,"Bruce Alberts, Dennis Bray, Julian Lewis, Martin Raff, Keith Roberts, James D. Watson",BIO,,2,2,,,,,,
BIO-02.01,Molecular Biology of the Cell,"Bruce Alberts, Dennis Bray, Julian Lewis, Martin Raff, Keith Roberts, James D. Watson",BIO,,2,2,,,,,,
BIO-02.01,Molecular Biology of the Cell,"Bruce Alberts, Dennis Bray, Julian Lewis, Martin Raff, Keith Roberts, James D. Watson",BIO,,2,2,,,,,,
BIO-02.01,Molecular Biology of the Cell,"Bruce Alberts, Dennis Bray, Julian Lewis, Martin Raff, Keith Roberts, James D. Watson",BIO,,2,2,,,,,,
